ds,cod_mun,disease,y_true,y_pred,yhat_lower,yhat_upper
1999-01-01,3527256,tuberculose,0.0,0.0,0.0,1.297359077930552e-09
1999-02-01,3527256,tuberculose,0.0,0.0,0.0,1.234068797517102e-09
1999-03-01,3527256,tuberculose,0.0,0.0,0.0,1.2566692820249345e-09
1999-04-01,3527256,tuberculose,0.0,0.0,0.0,1.3494950419096327e-09
1999-05-01,3527256,tuberculose,0.0,0.0,0.0,1.2951185912113612e-09
1999-06-01,3527256,tuberculose,0.0,0.0,0.0,1.2807657415880074e-09
1999-07-01,3527256,tuberculose,0.0,0.0,0.0,1.269839457160969e-09
1999-08-01,3527256,tuberculose,0.0,0.0,0.0,1.3041638325773987e-09
1999-09-01,3527256,tuberculose,0.0,0.0,0.0,1.3891261675419158e-09
1999-10-01,3527256,tuberculose,0.0,0.0,0.0,1.267248006573238e-09
1999-11-01,3527256,tuberculose,0.0,0.0,0.0,1.2925399952704122e-09
1999-12-01,3527256,tuberculose,0.0,0.0,0.0,1.3159202932111137e-09
2000-01-01,3527256,tuberculose,0.0,0.0,0.0,1.2571022395800669e-09
2000-02-01,3527256,tuberculose,0.0,0.0,0.0,1.3152098938612385e-09
2000-03-01,3527256,tuberculose,0.0,0.0,0.0,1.2949752276612118e-09
2000-04-01,3527256,tuberculose,0.0,0.0,0.0,1.2202728805949906e-09
2000-05-01,3527256,tuberculose,0.0,0.0,0.0,1.3402934387667824e-09
2000-06-01,3527256,tuberculose,0.0,0.0,0.0,1.4313802096410751e-09
2000-07-01,3527256,tuberculose,0.0,0.0,0.0,1.272183340259129e-09
2000-08-01,3527256,tuberculose,0.0,0.0,0.0,1.2374696657268013e-09
2000-09-01,3527256,tuberculose,0.0,0.0,0.0,1.2239055410265937e-09
2000-10-01,3527256,tuberculose,0.0,0.0,0.0,1.2939107389617764e-09
2000-11-01,3527256,tuberculose,0.0,0.0,0.0,1.3141634775072171e-09
2000-12-01,3527256,tuberculose,0.0,0.0,0.0,1.290737036504195e-09
2001-01-01,3527256,tuberculose,0.0,0.0,0.0,1.2616380356883074e-09
2001-02-01,3527256,tuberculose,0.0,0.0,0.0,1.279992773581297e-09
2001-03-01,3527256,tuberculose,0.0,0.0,0.0,1.2539238985319374e-09
2001-04-01,3527256,tuberculose,0.0,0.0,0.0,1.2209037029718436e-09
2001-05-01,3527256,tuberculose,0.0,0.0,0.0,1.32234210285785e-09
2001-06-01,3527256,tuberculose,0.0,0.0,0.0,1.2827941312764376e-09
2001-07-01,3527256,tuberculose,0.0,0.0,0.0,1.2911403571103323e-09
2001-08-01,3527256,tuberculose,0.0,0.0,0.0,1.2300970969549867e-09
2001-09-01,3527256,tuberculose,0.0,0.0,0.0,1.2164795015552755e-09
2001-10-01,3527256,tuberculose,0.0,0.0,0.0,1.146649241744707e-09
2001-11-01,3527256,tuberculose,0.0,0.0,0.0,1.2793303400889918e-09
2001-12-01,3527256,tuberculose,0.0,0.0,0.0,1.3552757764013753e-09
2002-01-01,3527256,tuberculose,0.0,0.0,0.0,1.3050693514330153e-09
2002-02-01,3527256,tuberculose,0.0,0.0,0.0,1.2521336311809436e-09
2002-03-01,3527256,tuberculose,0.0,0.0,0.0,1.354736672442566e-09
2002-04-01,3527256,tuberculose,0.0,0.0,0.0,1.2907214743570357e-09
2002-05-01,3527256,tuberculose,0.0,0.0,0.0,1.4075029924668032e-09
2002-06-01,3527256,tuberculose,0.0,0.0,0.0,1.3062245374330545e-09
2002-07-01,3527256,tuberculose,0.0,0.0,0.0,1.34443238740839e-09
2002-08-01,3527256,tuberculose,0.0,0.0,0.0,1.3058605079181602e-09
2002-09-01,3527256,tuberculose,0.0,0.0,0.0,1.3273154499126472e-09
2002-10-01,3527256,tuberculose,0.0,0.0,0.0,1.1908292637477396e-09
2002-11-01,3527256,tuberculose,0.0,0.0,0.0,1.2563196264508042e-09
2002-12-01,3527256,tuberculose,0.0,0.0,0.0,1.222136621061366e-09
2003-01-01,3527256,tuberculose,0.0,0.0,0.0,1.3314853618653503e-09
2003-02-01,3527256,tuberculose,0.0,0.0,0.0,1.232957824514172e-09
2003-03-01,3527256,tuberculose,0.0,0.0,0.0,1.246871808563022e-09
2003-04-01,3527256,tuberculose,0.0,0.0,0.0,1.2306970560634611e-09
2003-05-01,3527256,tuberculose,0.0,0.0,0.0,1.2392721187624782e-09
2003-06-01,3527256,tuberculose,0.0,0.0,0.0,1.272008895609865e-09
2003-07-01,3527256,tuberculose,0.0,0.0,0.0,1.2416708386900385e-09
2003-08-01,3527256,tuberculose,0.0,0.0,0.0,1.2575572809892332e-09
2003-09-01,3527256,tuberculose,0.0,0.0,0.0,1.249824886039282e-09
2003-10-01,3527256,tuberculose,0.0,0.0,0.0,1.240877270411545e-09
2003-11-01,3527256,tuberculose,0.0,0.0,0.0,1.3105424736999916e-09
2003-12-01,3527256,tuberculose,0.0,0.0,0.0,1.3256009018445395e-09
2004-01-01,3527256,tuberculose,0.0,0.0,0.0,1.280478302716195e-09
2004-02-01,3527256,tuberculose,0.0,0.0,0.0,1.2164353990598352e-09
2004-03-01,3527256,tuberculose,0.0,0.0,0.0,1.3819025800716498e-09
2004-04-01,3527256,tuberculose,0.0,0.0,0.0,1.2074352504675593e-09
2004-05-01,3527256,tuberculose,0.0,0.0,0.0,1.3231913706762902e-09
2004-06-01,3527256,tuberculose,0.0,0.0,0.0,1.3858172630236436e-09
2004-07-01,3527256,tuberculose,0.0,0.0,0.0,1.2916390668346955e-09
2004-08-01,3527256,tuberculose,0.0,0.0,0.0,1.2751920434299458e-09
2004-09-01,3527256,tuberculose,0.0,0.0,0.0,1.2666325506135188e-09
2004-10-01,3527256,tuberculose,0.0,0.0,0.0,1.358368225709317e-09
2004-11-01,3527256,tuberculose,0.0,0.0,0.0,1.339983638918588e-09
2004-12-01,3527256,tuberculose,0.0,0.0,0.0,1.1568500075047942e-09
2005-01-01,3527256,tuberculose,0.0,0.0,0.0,1.2775302356151235e-09
2005-02-01,3527256,tuberculose,0.0,0.0,0.0,1.2923000265561492e-09
2005-03-01,3527256,tuberculose,0.0,0.0,0.0,1.2480010061229821e-09
2005-04-01,3527256,tuberculose,0.0,0.0,0.0,1.2992292378521267e-09
2005-05-01,3527256,tuberculose,0.0,0.0,0.0,1.2011649861810745e-09
2005-06-01,3527256,tuberculose,0.0,0.0,0.0,1.276383486649941e-09
2005-07-01,3527256,tuberculose,0.0,0.0,0.0,1.3308966833796692e-09
2005-08-01,3527256,tuberculose,0.0,0.0,0.0,1.2667586154821561e-09
2005-09-01,3527256,tuberculose,0.0,0.0,0.0,1.27691953056948e-09
2005-10-01,3527256,tuberculose,0.0,0.0,0.0,1.2992512246800569e-09
2005-11-01,3527256,tuberculose,0.0,0.0,0.0,1.361243829909727e-09
2005-12-01,3527256,tuberculose,0.0,0.0,0.0,1.3256811063833783e-09
2006-01-01,3527256,tuberculose,0.0,0.0,0.0,1.3304343998398133e-09
2006-02-01,3527256,tuberculose,0.0,0.0,0.0,1.3734547774243135e-09
2006-03-01,3527256,tuberculose,0.0,0.0,0.0,1.2586773409972555e-09
2006-04-01,3527256,tuberculose,0.0,0.0,0.0,1.2850887697216987e-09
2006-05-01,3527256,tuberculose,0.0,0.0,0.0,1.3418978742144125e-09
2006-06-01,3527256,tuberculose,0.0,0.0,0.0,1.2382794988274089e-09
2006-07-01,3527256,tuberculose,0.0,0.0,0.0,1.308245775755558e-09
2006-08-01,3527256,tuberculose,0.0,0.0,0.0,1.2964131557121208e-09
2006-09-01,3527256,tuberculose,0.0,0.0,0.0,1.30264485553445e-09
2006-10-01,3527256,tuberculose,0.0,0.0,0.0,1.2211129181313848e-09
