ds,cod_mun,disease,y_true,y_pred,yhat_lower,yhat_upper
1999-01-01,3501509,tuberculose,0.0,0.0,0.0,1.2310859926235316e-09
1999-02-01,3501509,tuberculose,0.0,0.0,0.0,1.227043994391016e-09
1999-03-01,3501509,tuberculose,0.0,0.0,0.0,1.3186544663788738e-09
1999-04-01,3501509,tuberculose,0.0,0.0,0.0,1.2819105953603863e-09
1999-05-01,3501509,tuberculose,0.0,0.0,0.0,1.2567896669579572e-09
1999-06-01,3501509,tuberculose,0.0,0.0,0.0,1.18450177203216e-09
1999-07-01,3501509,tuberculose,0.0,0.0,0.0,1.2707194677573014e-09
1999-08-01,3501509,tuberculose,0.0,0.0,0.0,1.3553651550636973e-09
1999-09-01,3501509,tuberculose,0.0,0.0,0.0,1.1347117827263105e-09
1999-10-01,3501509,tuberculose,0.0,0.0,0.0,1.2885173338400707e-09
1999-11-01,3501509,tuberculose,0.0,0.0,0.0,1.3620857073773777e-09
1999-12-01,3501509,tuberculose,0.0,0.0,0.0,1.3415456071785596e-09
2000-01-01,3501509,tuberculose,0.0,0.0,0.0,1.3157418836148994e-09
2000-02-01,3501509,tuberculose,0.0,0.0,0.0,1.2789608556602951e-09
2000-03-01,3501509,tuberculose,0.0,0.0,0.0,1.248368219949734e-09
2000-04-01,3501509,tuberculose,0.0,0.0,0.0,1.3320218787587485e-09
2000-05-01,3501509,tuberculose,0.0,0.0,0.0,1.3410484586232129e-09
2000-06-01,3501509,tuberculose,0.0,0.0,0.0,1.3000250499332496e-09
2000-07-01,3501509,tuberculose,0.0,0.0,0.0,1.2665477917539443e-09
2000-08-01,3501509,tuberculose,0.0,0.0,0.0,1.3457836452670274e-09
2000-09-01,3501509,tuberculose,0.0,0.0,0.0,1.2459739177430934e-09
2000-10-01,3501509,tuberculose,0.0,0.0,0.0,1.2519660469403554e-09
2000-11-01,3501509,tuberculose,0.0,0.0,0.0,1.2170182415164675e-09
2000-12-01,3501509,tuberculose,0.0,0.0,0.0,1.2555199976397022e-09
2001-01-01,3501509,tuberculose,0.0,0.0,0.0,1.2340628411379768e-09
2001-02-01,3501509,tuberculose,0.0,0.0,0.0,1.2810238814447515e-09
2001-03-01,3501509,tuberculose,0.0,0.0,0.0,1.1950212922881729e-09
2001-04-01,3501509,tuberculose,0.0,0.0,0.0,1.3575948027669956e-09
2001-05-01,3501509,tuberculose,0.0,0.0,0.0,1.1500544381628731e-09
2001-06-01,3501509,tuberculose,0.0,0.0,0.0,1.3202625976283613e-09
2001-07-01,3501509,tuberculose,0.0,0.0,0.0,1.1907733895869722e-09
2001-08-01,3501509,tuberculose,0.0,0.0,0.0,1.32191617132106e-09
2001-09-01,3501509,tuberculose,0.0,0.0,0.0,1.415944499012152e-09
2001-10-01,3501509,tuberculose,0.0,0.0,0.0,1.2871843830340521e-09
2001-11-01,3501509,tuberculose,0.0,0.0,0.0,1.221880302806961e-09
2001-12-01,3501509,tuberculose,0.0,0.0,0.0,1.3201806207142055e-09
2002-01-01,3501509,tuberculose,0.0,0.0,0.0,1.2975082325834194e-09
2002-02-01,3501509,tuberculose,0.0,0.0,0.0,1.2413935850777065e-09
2002-03-01,3501509,tuberculose,0.0,0.0,0.0,1.3660596800795894e-09
2002-04-01,3501509,tuberculose,0.0,0.0,0.0,1.1943475583787556e-09
2002-05-01,3501509,tuberculose,0.0,0.0,0.0,1.2651793881776195e-09
2002-06-01,3501509,tuberculose,0.0,0.0,0.0,1.202347408991139e-09
2002-07-01,3501509,tuberculose,0.0,0.0,0.0,1.4123299162620133e-09
2002-08-01,3501509,tuberculose,0.0,0.0,0.0,1.2368968528502946e-09
2002-09-01,3501509,tuberculose,0.0,0.0,0.0,1.2657694534576531e-09
2002-10-01,3501509,tuberculose,0.0,0.0,0.0,1.2515846116394486e-09
2002-11-01,3501509,tuberculose,0.0,0.0,0.0,1.291173024556205e-09
2002-12-01,3501509,tuberculose,0.0,0.0,0.0,1.313669877146361e-09
2003-01-01,3501509,tuberculose,0.0,0.0,0.0,1.2109651991505227e-09
2003-02-01,3501509,tuberculose,0.0,0.0,0.0,1.315354200726373e-09
2003-03-01,3501509,tuberculose,0.0,0.0,0.0,1.3306906551409907e-09
