ds,y_pred,yhat_lower,yhat_upper,y_true,cod_mun
1999-01-01,0.03118264930852985,0.0,0.31480593098798915,0.0,3539301
1999-02-01,0.03127211377385056,0.0,0.3078749572963224,0.0,3539301
1999-03-01,0.031121563288200167,0.0,0.35003344411940657,0.0,3539301
1999-04-01,0.03147749399659626,0.0,0.3276961097829909,0.0,3539301
1999-05-01,0.03115999913244312,0.0,0.31339285054781785,0.0,3539301
1999-06-01,0.03134518313294569,0.0,0.31624747506109,0.0,3539301
1999-07-01,0.031251812552973,0.0,0.32268321737865296,0.0,3539301
1999-08-01,0.03158741524487956,0.0,0.3121907575039186,0.0,3539301
1999-09-01,0.03152219744950182,0.0,0.30765063148719796,0.0,3539301
1999-10-01,0.0313788733916735,0.0,0.31179740310757564,0.0,3539301
1999-11-01,0.0314180098813014,0.0,0.3125861527009975,0.0,3539301
1999-12-01,0.031447596249052114,0.0,0.3211660586579131,0.0,3539301
2000-01-01,0.03160564923728959,0.0,0.32568860872744293,0.0,3539301
2000-02-01,0.03169480933132029,0.0,0.3115996586903386,0.0,3539301
2000-03-01,0.03154286311804151,0.0,0.30864256056160005,0.0,3539301
2000-04-01,0.03190548094592169,0.0,0.3145436277607136,0.0,3539301
2000-05-01,0.03158491123077271,0.0,0.29423080437728355,0.0,3539301
2000-06-01,0.03176636319045708,0.0,0.330409465896135,0.0,3539301
2000-07-01,0.03166702353804507,0.0,0.3272806320625082,0.0,3539301
2000-08-01,0.032007018901565,0.0,0.3140377995934162,0.0,3539301
2000-09-01,0.03194948668818364,0.0,0.3117344996821539,0.0,3539301
2000-10-01,0.03180570603887025,0.0,0.3009082236450054,0.0,3539301
2000-11-01,0.0318400972784843,0.0,0.32697059505391257,0.0,3539301
2000-12-01,0.03186652858961581,0.0,0.3119727485349679,0.0,3539301
2001-01-01,0.03202471925876051,0.0,0.30946538314177935,1.518649009840846,3539301
2001-02-01,0.032117559242528265,0.0,0.29740769101299275,0.0,3539301
2001-03-01,0.03196277184992779,0.0,0.30148084311380785,0.0,3539301
2001-04-01,0.03232914485763746,0.0,0.32952282397786925,0.0,3539301
2001-05-01,0.03200301105200109,0.0,0.3144122894435218,0.0,3539301
2001-06-01,0.03218843243457259,0.0,0.30315212068000075,0.0,3539301
2001-07-01,0.03208869360872515,0.0,0.314333228285583,0.0,3539301
2001-08-01,0.03243284033295665,0.0,0.32187532147989373,0.0,3539301
2001-09-01,0.032370971735650844,0.0,0.3269780624011059,0.0,3539301
2001-10-01,0.032224021651519295,0.0,0.32396236408215,0.0,3539301
2001-11-01,0.03225999911492567,0.0,0.3263983760261569,0.0,3539301
2001-12-01,0.03228736804946778,0.0,0.314996726892623,0.0,3539301
2002-01-01,0.03244776990819167,0.0,0.3162192556336274,0.0,3539301
2002-02-01,0.03254041371039083,0.0,0.3109078831433898,0.0,3539301
2002-03-01,0.03238273828242604,0.0,0.3016231654412132,0.0,3539301
2002-04-01,0.03275264453863713,0.0,0.31088513725076133,0.0,3539301
2002-05-01,0.03242120095717505,0.0,0.3101497333218894,0.0,3539301
2002-06-01,0.03261055279514136,0.0,0.3162453125064807,0.0,3539301
2002-07-01,0.0325105091822659,0.0,0.3042746331006109,0.0,3539301
2002-08-01,0.032858565244020664,0.0,0.332177711480938,0.0,3539301
2002-09-01,0.032792321579301634,0.0,0.32674820731875853,0.0,3539301
2002-10-01,0.032642340338487064,0.0,0.34003944337176656,0.0,3539301
2002-11-01,0.03267996206575514,0.0,0.3266413712322393,0.0,3539301
2002-12-01,0.03270829551472301,0.0,0.30533518271387633,0.0,3539301
2003-01-01,0.03287083185468159,0.0,0.30906065401884053,0.0,3539301
2003-02-01,0.03296319738240948,0.0,0.31499294864513044,0.0,3539301
2003-03-01,0.03280276348607141,0.0,0.3243197523898542,0.0,3539301
2003-04-01,0.03317597507195146,0.0,0.3247642638070331,0.0,3539301
2003-05-01,0.0328394879749592,0.0,0.32660166080037834,0.0,3539301
2003-06-01,0.03303272342467031,0.0,0.332521856247191,0.0,3539301
2003-07-01,0.03293246825815655,0.0,0.3192456363550541,0.0,3539301
2003-08-01,0.0332841829911736,0.0,0.3197158899758112,0.0,3539301
2003-09-01,0.03321353436072271,0.0,0.3245098543829811,0.0,3539301
2003-10-01,0.03306066744715017,0.0,0.312987015342575,0.0,3539301
2003-11-01,0.03309998892325894,0.0,0.32256127256497535,0.0,3539301
2003-12-01,0.033129310725880705,0.0,0.3210399948086707,0.0,3539301
2004-01-01,0.033293900449283195,0.0,0.31762412312176763,0.0,3539301
2004-02-01,0.03338590665438743,0.0,0.29740684594752,0.0,3539301
2004-03-01,0.03322407291988901,0.0,0.3123704372664099,0.0,3539301
2004-04-01,0.03360409721050135,0.0,0.3127554592278685,0.0,3539301
2004-05-01,0.03326462462133355,0.0,0.3066522205508931,0.0,3539301
2004-06-01,0.0334538224272984,0.0,0.3017971610185241,0.0,3539301
2004-07-01,0.03334737307820306,0.0,0.31855902943950454,0.0,3539301
2004-08-01,0.033703499773572974,0.0,0.3031322950624494,0.0,3539301
2004-09-01,0.03364101591743331,0.0,0.32840677035783067,0.0,3539301
2004-10-01,0.03348779441899987,0.0,0.31244363260726665,0.0,3539301
2004-11-01,0.033522117117711595,0.0,0.30673634223120083,0.0,3539301
2004-12-01,0.03354812074365214,0.0,0.3161492705035865,0.0,3539301
2005-01-01,0.03371276915030337,0.0,0.32026651510230575,0.0,3539301
2005-02-01,0.0338086116023381,0.0,0.3275068013105015,0.0,3539301
2005-03-01,0.033643978008360394,0.0,0.3387968866315276,0.0,3539301
2005-04-01,0.03402772623749105,0.0,0.2986667948193427,0.0,3539301
2005-05-01,0.033682645322693605,0.0,0.31918838592107573,0.0,3539301
2005-06-01,0.033875919203253065,0.0,0.3277911568972759,0.0,3539301
2005-07-01,0.033769142559543726,0.0,0.3197527613092014,0.0,3539301
2005-08-01,0.03412942665700696,0.0,0.3177793706567676,0.0,3539301
2005-09-01,0.03406244422995164,0.0,0.3436598976894036,0.0,3539301
2005-10-01,0.03390601091399589,0.0,0.33456430436008405,0.0,3539301
2005-11-01,0.03394200342514921,0.0,0.3205890669518437,0.0,3539301
2005-12-01,0.03396899897615858,0.0,0.2943328503934043,0.0,3539301
2006-01-01,0.034135889518201123,0.0,0.31903623026438654,0.0,3539301
2006-02-01,0.03423148641720168,0.0,0.3285333765900122,0.0,3539301
2006-03-01,0.03406394242832003,0.0,0.3269152086135739,0.0,3539301
2006-04-01,0.034451181907087555,0.0,0.3116300555382648,0.0,3539301
2006-05-01,0.034100761288274654,0.0,0.3335931002454001,0.0,3539301
2006-06-01,0.034298067463846484,0.0,0.30484193498996387,0.0,3539301
2006-07-01,0.034191061131660025,0.0,0.31559024745428743,0.0,3539301
2006-08-01,0.03455524813747889,0.0,0.31275699892856074,0.0,3539301
2006-09-01,0.03448373076565954,0.0,0.3004856373738902,0.0,3539301
2006-10-01,0.034324232246861014,0.0,0.3357096238911724,0.0,3539301
2006-11-01,0.034361953557746294,0.0,0.32914480835690374,0.0,3539301
2006-12-01,0.03438996801776553,0.0,0.33422406988181674,0.0,3539301
2007-01-01,0.03455901935941604,0.0,0.33342037884706877,0.0,3539301
2007-02-01,0.034654285782822446,0.0,0.3094911084218082,0.0,3539301
2007-03-01,0.034483968290426145,0.0,0.33536514186476335,0.0,3539301
2007-04-01,0.03487446062512339,0.0,0.33014733346968805,0.0,3539301
2007-05-01,0.03451898107678793,0.0,0.31089747229301395,0.0,3539301
2007-06-01,0.03472026782124427,0.0,0.3035857195575991,0.0,3539301
2007-07-01,0.034613127882892517,0.0,0.33608988762274494,0.0,3539301
2007-08-01,0.034980954518757226,0.0,0.3346548030619923,1.475209110891469,3539301
2007-09-01,0.03490487486585464,0.0,0.31584193500017493,0.0,3539301
2007-10-01,0.0347424649075957,0.0,0.33391454855707914,0.0,3539301
2007-11-01,0.034781971162027324,0.0,0.311648310846005,0.0,3539301
2007-12-01,0.03481102818627123,0.0,0.3322355235138215,0.0,3539301
2008-01-01,0.034982154435743595,0.0,0.31436445940726016,0.0,3539301
2008-02-01,0.03507700653553459,0.0,0.32493306729827576,0.0,3539301
2008-03-01,0.03490528505926725,0.0,0.3204270709967124,0.0,3539301
2008-04-01,0.0353027156147666,0.0,0.3198275287492511,0.0,3539301
2008-05-01,0.03494433991527601,0.0,0.31996835270791496,0.0,3539301
2008-06-01,0.03514128335571035,0.0,0.3273294279416658,0.0,3539301
2008-07-01,0.03502772409023168,0.0,0.31294599977370513,0.0,3539301
