ds,y_pred,yhat_lower,yhat_upper,y_true,cod_mun
1999-01-01,0.0,0.0,1.3179329811835907e-09,0.0,3536570
1999-02-01,0.0,0.0,1.3020094700522377e-09,0.0,3536570
1999-03-01,0.0,0.0,1.1530153087879703e-09,0.0,3536570
1999-04-01,0.0,0.0,1.2870167284005777e-09,0.0,3536570
1999-05-01,0.0,0.0,1.267014382160842e-09,0.0,3536570
1999-06-01,0.0,0.0,1.3045546219728718e-09,0.0,3536570
1999-07-01,0.0,0.0,1.3379302651206433e-09,0.0,3536570
1999-08-01,0.0,0.0,1.1800567369658828e-09,0.0,3536570
1999-09-01,0.0,0.0,1.3100426683537835e-09,0.0,3536570
1999-10-01,0.0,0.0,1.2714870424231571e-09,0.0,3536570
1999-11-01,0.0,0.0,1.2753800631594255e-09,0.0,3536570
1999-12-01,0.0,0.0,1.320934624671376e-09,0.0,3536570
2000-01-01,0.0,0.0,1.3732385224812063e-09,0.0,3536570
2000-02-01,0.0,0.0,1.1171766371418482e-09,0.0,3536570
2000-03-01,0.0,0.0,1.3141845388155062e-09,0.0,3536570
2000-04-01,0.0,0.0,1.301523906323533e-09,0.0,3536570
2000-05-01,0.0,0.0,1.2165288400157013e-09,0.0,3536570
2000-06-01,0.0,0.0,1.2640297779488736e-09,0.0,3536570
2000-07-01,0.0,0.0,1.369254020175139e-09,0.0,3536570
2000-08-01,0.0,0.0,1.2868967236405357e-09,0.0,3536570
2000-09-01,0.0,0.0,1.310108830477063e-09,0.0,3536570
2000-10-01,0.0,0.0,1.2672307611580155e-09,0.0,3536570
2000-11-01,0.0,0.0,1.3621301286599363e-09,0.0,3536570
2000-12-01,0.0,0.0,1.3227001945128207e-09,0.0,3536570
2001-01-01,0.0,0.0,1.2940877235460979e-09,0.0,3536570
2001-02-01,0.0,0.0,1.2705579036660026e-09,0.0,3536570
2001-03-01,0.0,0.0,1.3010364979084995e-09,0.0,3536570
2001-04-01,0.0,0.0,1.2355509159209562e-09,0.0,3536570
2001-05-01,0.0,0.0,1.2614925428171798e-09,0.0,3536570
2001-06-01,0.0,0.0,1.3409251950910232e-09,0.0,3536570
2001-07-01,0.0,0.0,1.2675324616043011e-09,0.0,3536570
2001-08-01,0.0,0.0,1.2491179763838654e-09,0.0,3536570
2001-09-01,0.0,0.0,1.3305138838746924e-09,0.0,3536570
2001-10-01,0.0,0.0,1.36626723788491e-09,0.0,3536570
2001-11-01,0.0,0.0,1.1895115585671595e-09,0.0,3536570
2001-12-01,0.0,0.0,1.2357294591903607e-09,0.0,3536570
2002-01-01,0.0,0.0,1.2717471024084858e-09,0.0,3536570
2002-02-01,0.0,0.0,1.1702471041014304e-09,0.0,3536570
2002-03-01,0.0,0.0,1.3121553953705556e-09,0.0,3536570
2002-04-01,0.0,0.0,1.3552797643644023e-09,0.0,3536570
2002-05-01,0.0,0.0,1.3534296360166514e-09,0.0,3536570
2002-06-01,0.0,0.0,1.385302983355641e-09,0.0,3536570
2002-07-01,0.0,0.0,1.28763338001839e-09,0.0,3536570
2002-08-01,0.0,0.0,1.3320468072189406e-09,0.0,3536570
2002-09-01,0.0,0.0,1.2254476397534017e-09,0.0,3536570
2002-10-01,0.0,0.0,1.2743278527584828e-09,0.0,3536570
2002-11-01,0.0,0.0,1.31753761708835e-09,0.0,3536570
2002-12-01,0.0,0.0,1.2734301512830292e-09,0.0,3536570
2003-01-01,0.0,0.0,1.27190019422244e-09,0.0,3536570
2003-02-01,0.0,0.0,1.297184671941349e-09,0.0,3536570
2003-03-01,0.0,0.0,1.2300657244213063e-09,0.0,3536570
2003-04-01,0.0,0.0,1.3046089444254536e-09,0.0,3536570
2003-05-01,0.0,0.0,1.2325160163918467e-09,0.0,3536570
2003-06-01,0.0,0.0,1.2142769212377668e-09,0.0,3536570
2003-07-01,0.0,0.0,1.2595920239354018e-09,0.0,3536570
2003-08-01,0.0,0.0,1.2260612132419088e-09,0.0,3536570
2003-09-01,0.0,0.0,1.266357073530918e-09,0.0,3536570
2003-10-01,0.0,0.0,1.3631385100722922e-09,0.0,3536570
2003-11-01,0.0,0.0,1.218227144925426e-09,0.0,3536570
2003-12-01,0.0,0.0,1.3299048607211227e-09,0.0,3536570
2004-01-01,0.0,0.0,1.2560741825675395e-09,0.0,3536570
2004-02-01,0.0,0.0,1.259484172078787e-09,0.0,3536570
2004-03-01,0.0,0.0,1.3394981702129797e-09,0.0,3536570
2004-04-01,0.0,0.0,1.3233355709073762e-09,0.0,3536570
2004-05-01,0.0,0.0,1.2578559591489797e-09,0.0,3536570
2004-06-01,0.0,0.0,1.2949532551516668e-09,0.0,3536570
2004-07-01,0.0,0.0,1.23665781746804e-09,0.0,3536570
2004-08-01,0.0,0.0,1.3193673949924638e-09,0.0,3536570
2004-09-01,0.0,0.0,1.2850343818916336e-09,0.0,3536570
2004-10-01,0.0,0.0,1.2646320682025528e-09,0.0,3536570
2004-11-01,0.0,0.0,1.2505817591925406e-09,0.0,3536570
2004-12-01,0.0,0.0,1.3076177034348416e-09,0.0,3536570
2005-01-01,0.0,0.0,1.2472474813404567e-09,0.0,3536570
2005-02-01,0.0,0.0,1.2618221383989654e-09,0.0,3536570
2005-03-01,0.0,0.0,1.1863718299882774e-09,0.0,3536570
2005-04-01,0.0,0.0,1.2036706629060698e-09,0.0,3536570
2005-05-01,0.0,0.0,1.315350296252705e-09,0.0,3536570
2005-06-01,0.0,0.0,1.2506055893781255e-09,0.0,3536570
2005-07-01,0.0,0.0,1.291543001405797e-09,0.0,3536570
2005-08-01,0.0,0.0,1.2193782530515045e-09,0.0,3536570
2005-09-01,0.0,0.0,1.2439858797492847e-09,0.0,3536570
2005-10-01,0.0,0.0,1.2449095067689164e-09,0.0,3536570
2005-11-01,0.0,0.0,1.3229046388877043e-09,0.0,3536570
2005-12-01,0.0,0.0,1.1656799439792477e-09,0.0,3536570
2006-01-01,0.0,0.0,1.2468496618820932e-09,0.0,3536570
2006-02-01,0.0,0.0,1.232771029561414e-09,0.0,3536570
2006-03-01,0.0,0.0,1.3159979838644345e-09,0.0,3536570
2006-04-01,0.0,0.0,1.2346386386965389e-09,0.0,3536570
2006-05-01,0.0,0.0,1.2772558435574098e-09,0.0,3536570
2006-06-01,0.0,0.0,1.2624888693714283e-09,0.0,3536570
2006-07-01,0.0,0.0,1.3761583585397351e-09,0.0,3536570
2006-08-01,0.0,0.0,1.346597786176633e-09,0.0,3536570
2006-09-01,0.0,0.0,1.2891796352533673e-09,0.0,3536570
2006-10-01,0.0,0.0,1.2379347332884595e-09,0.0,3536570
2006-11-01,0.0,0.0,1.1690667758446742e-09,0.0,3536570
2006-12-01,0.0,0.0,1.334884007467499e-09,0.0,3536570
2007-01-01,0.0,0.0,1.3106073746515395e-09,0.0,3536570
2007-02-01,0.0,0.0,1.262920808671844e-09,0.0,3536570
2007-03-01,0.0,0.0,1.344416588544504e-09,0.0,3536570
2007-04-01,0.0,0.0,1.2800224977006323e-09,0.0,3536570
2007-05-01,0.0,0.0,1.2000805358984874e-09,0.0,3536570
2007-06-01,0.0,0.0,1.2796226251230514e-09,0.0,3536570
2007-07-01,0.0,0.0,1.2792162481385186e-09,0.0,3536570
2007-08-01,0.0,0.0,1.260516334226088e-09,0.0,3536570
2007-09-01,0.0,0.0,1.381483208019437e-09,0.0,3536570
2007-10-01,0.0,0.0,1.306294097458937e-09,0.0,3536570
2007-11-01,0.0,0.0,1.331069015345455e-09,0.0,3536570
2007-12-01,0.0,0.0,1.3049294696593224e-09,0.0,3536570
2008-01-01,0.0,0.0,1.2052896410150686e-09,0.0,3536570
2008-02-01,0.0,0.0,1.299238614672491e-09,0.0,3536570
2008-03-01,0.0,0.0,1.2073450782109775e-09,0.0,3536570
2008-04-01,0.0,0.0,1.1855298473603685e-09,0.0,3536570
2008-05-01,0.0,0.0,1.3425747357104073e-09,0.0,3536570
2008-06-01,0.0,0.0,1.2143010234388363e-09,0.0,3536570
2008-07-01,0.0,0.0,1.2946768292155061e-09,0.0,3536570
2008-08-01,0.0,0.0,1.2074223568918404e-09,0.0,3536570
2008-09-01,0.0,0.0,1.2446541819107505e-09,0.0,3536570
2008-10-01,0.0,0.0,1.2180482206410394e-09,0.0,3536570
2008-11-01,0.0,0.0,1.2771954068601135e-09,0.0,3536570
2008-12-01,0.0,0.0,1.2848063611314376e-09,0.0,3536570
2009-01-01,0.0,0.0,1.2404661653472179e-09,0.0,3536570
2009-02-01,0.0,0.0,1.370118165600494e-09,0.0,3536570
2009-03-01,0.0,0.0,1.2245389319252401e-09,0.0,3536570
2009-04-01,0.0,0.0,1.2778792976519075e-09,0.0,3536570
2009-05-01,0.0,0.0,1.3697968607081707e-09,0.0,3536570
2009-06-01,0.0,0.0,1.2029969397824843e-09,0.0,3536570
2009-07-01,0.0,0.0,1.3301605212489982e-09,0.0,3536570
2009-08-01,0.0,0.0,1.3565876770521454e-09,0.0,3536570
2009-09-01,0.0,0.0,1.24617710873349e-09,0.0,3536570
2009-10-01,0.0,0.0,1.1892126240788722e-09,0.0,3536570
2009-11-01,0.0,0.0,1.279928242643785e-09,0.0,3536570
2009-12-01,0.0,0.0,1.2931367653181176e-09,0.0,3536570
2010-01-01,0.0,0.0,1.3093619197145954e-09,0.0,3536570
2010-02-01,0.0,0.0,1.1726841593678523e-09,0.0,3536570
2010-03-01,0.0,0.0,1.2918600691534413e-09,0.0,3536570
2010-04-01,0.0,0.0,1.3124237458986095e-09,0.0,3536570
2010-05-01,0.0,0.0,1.178702280812467e-09,0.0,3536570
2010-06-01,0.0,0.0,1.287761784996734e-09,0.0,3536570
2010-07-01,0.0,0.0,1.3636492858780625e-09,0.0,3536570
2010-08-01,0.0,0.0,1.2233292648867723e-09,0.0,3536570
2010-09-01,0.0,0.0,1.3370616425097532e-09,0.0,3536570
2010-10-01,0.0,0.0,1.2818869994879447e-09,0.0,3536570
2010-11-01,0.0,0.0,1.2623750157399604e-09,0.0,3536570
2010-12-01,0.0,0.0,1.3767590909623585e-09,0.0,3536570
2011-01-01,0.0,0.0,1.180468599358389e-09,0.0,3536570
2011-02-01,0.0,0.0,1.299616514896702e-09,0.0,3536570
2011-03-01,0.0,0.0,1.2364622239068128e-09,0.0,3536570
2011-04-01,0.0,0.0,1.1985119779969974e-09,0.0,3536570
2011-05-01,0.0,0.0,1.1378656071572698e-09,0.0,3536570
2011-06-01,0.0,0.0,1.2881290371981207e-09,0.0,3536570
2011-07-01,0.0,0.0,1.2349056852821142e-09,0.0,3536570
2011-08-01,0.0,0.0,1.2417198244321704e-09,0.0,3536570
2011-09-01,0.0,0.0,1.214353486442211e-09,0.0,3536570
2011-10-01,0.0,0.0,1.2199027725370275e-09,0.0,3536570
2011-11-01,0.0,0.0,1.2570424364323044e-09,0.0,3536570
2011-12-01,0.0,0.0,1.3316342516948947e-09,0.0,3536570
2012-01-01,0.0,0.0,1.2772202264308137e-09,0.0,3536570
2012-02-01,0.0,0.0,1.2240158874085353e-09,0.0,3536570
2012-03-01,0.0,0.0,1.2986441701772139e-09,0.0,3536570
2012-04-01,0.0,0.0,1.3316531232739357e-09,0.0,3536570
2012-05-01,0.0,0.0,1.2696705269920072e-09,0.0,3536570
2012-06-01,0.0,0.0,1.3363460045848037e-09,0.0,3536570
2012-07-01,0.0,0.0,1.2864957303980857e-09,0.0,3536570
2012-08-01,0.0,0.0,1.3498676622932258e-09,0.0,3536570
2012-09-01,0.0,0.0,1.302299646870056e-09,0.0,3536570
2012-10-01,0.0,0.0,1.3015619592691148e-09,0.0,3536570
2012-11-01,0.0,0.0,1.2407857557391666e-09,0.0,3536570
2012-12-01,0.0,0.0,1.2928468459075634e-09,0.0,3536570
2013-01-01,0.0,0.0,1.3392543282102959e-09,0.0,3536570
2013-02-01,0.0,0.0,1.2299845608549635e-09,0.0,3536570
2013-03-01,0.0,0.0,1.2327441884374414e-09,0.0,3536570
2013-04-01,0.0,0.0,1.2246891392003466e-09,0.0,3536570
2013-05-01,0.0,0.0,1.2550451776384864e-09,0.0,3536570
2013-06-01,0.0,0.0,1.1637138363403888e-09,0.0,3536570
2013-07-01,0.0,0.0,1.2892579784046997e-09,0.0,3536570
2013-08-01,0.0,0.0,1.3314422175197062e-09,0.0,3536570
2013-09-01,0.0,0.0,1.2545842453931281e-09,0.0,3536570
2013-10-01,0.0,0.0,1.2930989171478769e-09,0.0,3536570
2013-11-01,0.0,0.0,1.2477522491159578e-09,0.0,3536570
2013-12-01,0.0,0.0,1.2751490628574556e-09,0.0,3536570
2014-01-01,0.0,0.0,1.2405229940784807e-09,0.0,3536570
2014-02-01,0.0,0.0,1.3213633819083839e-09,0.0,3536570
2014-03-01,0.0,0.0,1.3102891376919857e-09,0.0,3536570
2014-04-01,0.0,0.0,1.3225796999058223e-09,0.0,3536570
2014-05-01,0.0,0.0,1.1729903267758306e-09,0.0,3536570
2014-06-01,0.0,0.0,1.1749391471991605e-09,0.0,3536570
2014-07-01,0.0,0.0,1.3200549782852538e-09,0.0,3536570
2014-08-01,0.0,0.0,1.1881816359914767e-09,0.0,3536570
2014-09-01,0.0,0.0,1.18621740556404e-09,0.0,3536570
2014-10-01,0.0,0.0,1.279684275890058e-09,0.0,3536570
2014-11-01,0.0,0.0,1.3562378444527062e-09,0.0,3536570
2014-12-01,0.0,0.0,1.3140890855293293e-09,0.0,3536570
2015-01-01,0.0,0.0,1.325557531540768e-09,0.0,3536570
2015-02-01,0.0,0.0,1.2368968600946096e-09,0.0,3536570
2015-03-01,0.0,0.0,1.3497898273809003e-09,0.0,3536570
2015-04-01,0.0,0.0,1.246765116473524e-09,0.0,3536570
2015-05-01,0.0,0.0,1.2500973674112023e-09,0.0,3536570
2015-06-01,0.0,0.0,1.2474925989787847e-09,0.0,3536570
2015-07-01,0.0,0.0,1.241587710549949e-09,0.0,3536570
2015-08-01,0.0,0.0,1.165405154651183e-09,0.0,3536570
2015-09-01,0.0,0.0,1.2694079782457869e-09,0.0,3536570
2015-10-01,0.0,0.0,1.3023481796557232e-09,0.0,3536570
2015-11-01,0.0,0.0,1.3708301583077467e-09,0.0,3536570
2015-12-01,0.0,0.0,1.2520994630685947e-09,0.0,3536570
2016-01-01,0.0,0.0,1.2698113080432679e-09,0.0,3536570
2016-02-01,0.0,0.0,1.3174210708809308e-09,0.0,3536570
2016-03-01,0.0,0.0,1.278680255203291e-09,0.0,3536570
2016-04-01,0.0,0.0,1.3514468871556097e-09,0.0,3536570
2016-05-01,0.0,0.0,1.2860207921574112e-09,0.0,3536570
2016-06-01,0.0,0.0,1.2526037548538151e-09,0.0,3536570
2016-07-01,0.0,0.0,1.295291669872046e-09,0.0,3536570
