disease,cod_mun,mae,rmse,r2,n_samples
hiv_aids,3500105,0.8012655626364608,1.1614803761188215,0.09986863841718285,300
hiv_aids,3500204,3.1635597455859616,6.309776455721036,0.01783801286913167,300
hiv_aids,3500303,25.700381397589716,33.36586374120814,-119.76548062067373,300
hiv_aids,3500402,4.082587831608462,5.521307829991173,0.1480625969563525,300
hiv_aids,3500501,2.5245181104700327,3.2758029640523483,-0.06550948991254768,300
hiv_aids,3500550,0.5721125826200075,2.2424547742277,0.0005665198247127856,300
hiv_aids,3500600,3.1725290627597316,8.325954120125823,0.19037803800505337,300
hiv_aids,3500709,1.258921824843355,2.1726242585839435,0.1144179993754545,300
hiv_aids,3500758,1.1459144082168098,4.2043348697289495,0.5330548447321101,300
hiv_aids,3500808,0.4189452140148188,2.64281084838356,0.1930213228139429,300
hiv_aids,3500907,1.0920376627133248,3.937759870321975,0.0031481284139890375,300
hiv_aids,3501004,2.3748465046807525,3.1601627897396827,-0.04427791765488376,300
hiv_aids,3501103,0.16058611249247098,1.370079142308563,0.006626991114384584,300
hiv_aids,3501152,0.8870278809115462,2.3115988044828306,-0.13841338655029167,300
hiv_aids,3501202,1.4960595053398662,4.805642274752697,0.040031888237922475,300
hiv_aids,3501301,1.2294830639520824,2.69621800365196,-0.17272568628451013,300
hiv_aids,3501400,5.569827514541459,8.002902567444359,-0.035687943553529555,300
hiv_aids,3501509,0.8677450391286204,3.7856402298438265,0.004703974792658494,300
hiv_aids,3501608,0.6903311710865633,0.9867632519439553,0.10592595826709439,300
hiv_aids,3501707,1.9709883383270264,3.331518670235616,0.19772115133028978,300
hiv_aids,3501806,2.4183007569212416,4.5992470662106575,0.0010304556087064043,300
hiv_aids,3501905,4.351435079143608,5.641185559319268,-1.2019334652196405,300
hiv_aids,3502002,0.4436959205076332,2.2241001326886525,0.00348631018362211,300
hiv_aids,3502101,2.200607311184548,3.461306923480373,-0.6637384929157002,300
hiv_aids,3502200,0.11917283788999831,0.519077336162786,0.0020604746449476297,300
hiv_aids,3502309,8.855792231079624,8.967259801120893,-1.8525068977048842,300
