cod_mun,disease,data_projecao,taxa_predita,limite_inferior,limite_superior
3500105,hanseniase,2030-06-01,0.1897738110590659,0.0,1.0674593928145517
3500105,hanseniase,2035-06-01,0.2104125361350845,0.0,1.1329904004464342
3500204,hanseniase,2030-06-01,0.0842092383280391,0.0,3.582451294589305
3500204,hanseniase,2035-06-01,0.0367150117133896,0.0,3.414493920879341
3500303,hanseniase,2030-06-01,0.0,0.0,0.7065997002099653
3500303,hanseniase,2035-06-01,0.0,0.0,0.652050871912785
3500402,hanseniase,2030-06-01,0.1302999694969789,0.0,30.369129094086837
3500402,hanseniase,2035-06-01,0.2093778495637068,0.0,77.05211204894243
3500501,hanseniase,2030-06-01,0.0,0.0,0.3548734536600281
3500501,hanseniase,2035-06-01,0.0,0.0,0.3613043204865551
3500550,hanseniase,2030-06-01,0.0,0.0,1.2195690967812671
3500550,hanseniase,2035-06-01,0.0,0.0,1.2021456594684186
3500600,hanseniase,2030-06-01,0.0,0.0,6.110472392206549e-09
3500600,hanseniase,2035-06-01,0.0,0.0,1.4476824930460456e-08
3500709,hanseniase,2030-06-01,0.4572649999667014,0.0,1.341479994253186
3500709,hanseniase,2035-06-01,0.5384466955637947,0.0,1.4038853199517138
3500758,hanseniase,2030-06-01,0.0,0.0,6.6803459359173555e-09
3500758,hanseniase,2035-06-01,0.0,0.0,1.55107640554838e-08
3500808,hanseniase,2030-06-01,0.0,0.0,6.279515159726545e-09
3500808,hanseniase,2035-06-01,0.0,0.0,1.4993817135055876e-08
3500907,hanseniase,2030-06-01,0.0,0.0,6.3053049972913934e-09
3500907,hanseniase,2035-06-01,0.0,0.0,1.5586099506201732e-08
3501004,hanseniase,2030-06-01,0.0,0.0,0.8338731905657646
3501004,hanseniase,2035-06-01,0.0,0.0,0.7217600659260843
3501103,hanseniase,2030-06-01,0.0,0.0,6.853694530466232e-09
3501103,hanseniase,2035-06-01,0.0,0.0,1.576276206479409e-08
3501152,hanseniase,2030-06-01,0.0,0.0,0.9119967007862584
3501152,hanseniase,2035-06-01,0.0,0.0,0.8493269166674172
3501202,hanseniase,2030-06-01,0.0,0.0,1.8273964809224923
3501202,hanseniase,2035-06-01,0.0,0.0,1.891632162124596
3501301,hanseniase,2030-06-01,0.0,0.0,0.2537732414118048
3501301,hanseniase,2035-06-01,0.0,0.0,0.2620247614157387
3501400,hanseniase,2030-06-01,0.0,0.0,6.908976134721581e-09
3501400,hanseniase,2035-06-01,0.0,0.0,1.58748772201983e-08
3501509,hanseniase,2030-06-01,0.0,0.0,2.1783545804895934
3501509,hanseniase,2035-06-01,0.0,0.0,2.120229306661077
3501608,hanseniase,2030-06-01,0.0,0.0,0.123357385207553
3501608,hanseniase,2035-06-01,0.0,0.0,0.1146367536781419
3501707,hanseniase,2030-06-01,0.0013401378985673,0.0,0.7586077422287423
3501707,hanseniase,2035-06-01,0.0,0.0,0.6814233670249288
3501806,hanseniase,2030-06-01,0.0,0.0,1.228289477167711
3501806,hanseniase,2035-06-01,0.0,0.0,1.2040312384891625
3501905,hanseniase,2030-06-01,0.0,0.0,0.004774619260788
3501905,hanseniase,2035-06-01,0.0,0.0,0.0
3502002,hanseniase,2030-06-01,0.0,0.0,6.4481613308482685e-09
3502002,hanseniase,2035-06-01,0.0,0.0,1.520354146502214e-08
3502101,hanseniase,2030-06-01,0.1074349514575299,0.0,1.1935438673606376
