cod_mun,disease,data_projecao,taxa_predita,limite_inferior,limite_superior
3503307,hiv_aids,2035-06-01,0.0,0.0,0.0
3503356,hiv_aids,2030-06-01,0.0,0.0,6.472366019279049e-09
3503356,hiv_aids,2035-06-01,0.0,0.0,1.6639487986367012e-08
3503406,hiv_aids,2030-06-01,0.0,0.0,14.700752316135944
3503406,hiv_aids,2035-06-01,0.0,0.0,37.98409916123683
3503505,hiv_aids,2030-06-01,0.0,0.0,6.6068677978055156e-09
3503505,hiv_aids,2035-06-01,0.0,0.0,1.6066036818161635e-08
3503604,hiv_aids,2030-06-01,0.0,0.0,1.7015503462946004
3503604,hiv_aids,2035-06-01,0.0,0.0,1.7363782665328833
3503703,hiv_aids,2030-06-01,0.1791199427370441,0.0,4.437871398740668
3503703,hiv_aids,2035-06-01,0.0847952565599345,0.0,4.458765590375657
3503802,hiv_aids,2030-06-01,0.0,0.0,0.0
3503802,hiv_aids,2035-06-01,0.0,0.0,0.0
3503901,hiv_aids,2030-06-01,0.0,0.0,0.5102098387138433
3503901,hiv_aids,2035-06-01,0.0,0.0,0.0203888390572724
3503950,hiv_aids,2030-06-01,0.7735170376295795,0.0,7.302658803371977
3503950,hiv_aids,2035-06-01,0.8296645873983219,0.0,8.098737702309146
3504008,hiv_aids,2030-06-01,0.0,0.0,1.4853303616937783
3504008,hiv_aids,2035-06-01,0.0,0.0,1.1318808129309568
3504107,hiv_aids,2030-06-01,0.0,0.0,0.0472717475450512
3504107,hiv_aids,2035-06-01,0.0,0.0,0.0
3504206,hiv_aids,2030-06-01,0.0935340769363529,0.0,1.1359769621837912
3504206,hiv_aids,2035-06-01,0.0849301731634063,0.0,1.2413283447540635
3504305,hiv_aids,2030-06-01,2.1757434185568743,0.0,10.335699425895838
3504305,hiv_aids,2035-06-01,3.035199380112988,0.0,11.150394587841406
3504404,hiv_aids,2030-06-01,0.1852434807677427,0.0,3.015517813084427
3504404,hiv_aids,2035-06-01,0.0784113149045457,0.0,2.882992294131675
3504503,hiv_aids,2030-06-01,0.0,0.0,0.0
3504503,hiv_aids,2035-06-01,0.0,0.0,0.0
3504602,hiv_aids,2030-06-01,1.5356487810693369,0.0,7.488730502264352
3504602,hiv_aids,2035-06-01,1.3928411688543798,0.0,7.45569424601387
3504701,hiv_aids,2030-06-01,0.0,0.0,13.388059834130644
3504701,hiv_aids,2035-06-01,0.0,0.0,8.207759437596676
3504800,hiv_aids,2030-06-01,0.7148589410629821,0.0,6.628927208719492
3504800,hiv_aids,2035-06-01,0.6436071009706108,0.0,6.424157507132123
3504909,hiv_aids,2030-06-01,0.0,0.0,0.3968608999915651
3504909,hiv_aids,2035-06-01,0.0,0.0,0.0
3505005,hiv_aids,2030-06-01,0.794450391545617,0.0,5.000863414184231
3505005,hiv_aids,2035-06-01,0.9533874897288512,0.0,5.324157786538756
3505104,hiv_aids,2030-06-01,0.0,0.0,2.2196955802792986
3505104,hiv_aids,2035-06-01,0.0,0.0,1.566591856487476
3505203,hiv_aids,2030-06-01,0.1392868805356895,0.0,1.321911752965228
3505203,hiv_aids,2035-06-01,0.1886124583446767,0.0,1.3885494040647264
3505302,hiv_aids,2030-06-01,0.0,0.0,1.163442010023235
