cod_mun,disease,data_projecao,taxa_predita,limite_inferior,limite_superior
3500105,sifilis,2030-06-01,7.602353266551784,6.106730209163688,9.048040974994937
3500105,sifilis,2035-06-01,10.09847259275728,8.630468571900494,11.659772341700664
3500204,sifilis,2030-06-01,0.0,0.0,6.831684786420221e-09
3500204,sifilis,2035-06-01,0.0,0.0,1.6090453336955794e-08
3500303,sifilis,2030-06-01,0.0608331580585949,0.0,0.5522036325051456
3500303,sifilis,2035-06-01,0.0622118672601784,0.0,0.545822381857988
3500402,sifilis,2030-06-01,0.0,0.0,0.9639856159893548
3500402,sifilis,2035-06-01,0.0,0.0,0.89373426558548
3500501,sifilis,2030-06-01,0.3119634586896934,0.0,1.3792213028744655
3500501,sifilis,2035-06-01,0.3615764406090492,0.0,1.4061186210316423
3500550,sifilis,2030-06-01,0.1986666835944236,0.0,1.88438633900074
3500550,sifilis,2035-06-01,0.2197561932281931,0.0,2.0319887308469045
3500600,sifilis,2030-06-01,0.298270875683405,0.0,3.642581034307213
3500600,sifilis,2035-06-01,0.3178439294465124,0.0,4.077779631665117
3500709,sifilis,2030-06-01,0.0499913830235894,0.0,0.7112448402649815
3500709,sifilis,2035-06-01,0.0648099108654008,0.0,0.7293300907338602
3500758,sifilis,2030-06-01,0.0,0.0,1.3116737770051248
3500758,sifilis,2035-06-01,0.0,0.0,1.2755062740400336
3500808,sifilis,2030-06-01,0.2617825808737413,0.0,3.643855143298235
3500808,sifilis,2035-06-01,0.2645090098106019,0.0,3.4734873639828647
3500907,sifilis,2030-06-01,0.3649259883655064,0.0,2.073846728961459
3500907,sifilis,2035-06-01,0.4399722985608718,0.0,2.17560291801697
3501004,sifilis,2030-06-01,0.2481063464974201,0.0,1.322353866070715
3501004,sifilis,2035-06-01,0.2797677332891042,0.0,1.3372917247355365
3501103,sifilis,2030-06-01,0.537021555731861,0.0,2.961420137772012
3501103,sifilis,2035-06-01,0.6323121611446401,0.0,3.2704516465104
3501152,sifilis,2030-06-01,0.6505163302243436,0.0,1.8782767548246344
3501152,sifilis,2035-06-01,0.7638847127422689,0.0,2.0546359367256084
3501202,sifilis,2030-06-01,0.4689794325007278,0.0,3.0929016737431416
3501202,sifilis,2035-06-01,0.5448194779122626,0.0,3.0212630840461925
3501301,sifilis,2030-06-01,0.0,0.0,0.0
