ds,actual,yhat,yhat_lower,yhat_upper,cod_mun,nome_mun,doenca
2024-01-01,,0.0,0.0,1.2662691931972788e-09,3522802,Itaporanga,hanseniase
2024-02-01,,0.0,0.0,1.2632660303796176e-09,3522802,Itaporanga,hanseniase
2024-03-01,,0.0,0.0,1.3445918710223872e-09,3522802,Itaporanga,hanseniase
2024-04-01,,0.0,0.0,1.2547927672301527e-09,3522802,Itaporanga,hanseniase
2024-05-01,,0.0,0.0,1.184047441196044e-09,3522802,Itaporanga,hanseniase
2024-06-01,,0.0,0.0,1.4120277803971705e-09,3522802,Itaporanga,hanseniase
2024-07-01,,0.0,0.0,1.267521899117325e-09,3522802,Itaporanga,hanseniase
2024-08-01,,0.0,0.0,1.197290868953701e-09,3522802,Itaporanga,hanseniase
2024-09-01,,0.0,0.0,1.3268964026787104e-09,3522802,Itaporanga,hanseniase
2024-10-01,,0.0,0.0,1.3252167674917543e-09,3522802,Itaporanga,hanseniase
2024-11-01,,0.0,0.0,1.2666485398435136e-09,3522802,Itaporanga,hanseniase
2024-12-01,,0.0,0.0,1.3194301111184962e-09,3522802,Itaporanga,hanseniase
2025-01-01,,0.0,0.0,1.445966941326322e-09,3522802,Itaporanga,hanseniase
2025-02-01,,0.0,0.0,1.2568787002734205e-09,3522802,Itaporanga,hanseniase
2025-03-01,,0.0,0.0,1.445590714321864e-09,3522802,Itaporanga,hanseniase
2025-04-01,,0.0,0.0,1.5264578114463452e-09,3522802,Itaporanga,hanseniase
2025-05-01,,0.0,0.0,1.5254488143435587e-09,3522802,Itaporanga,hanseniase
2025-06-01,,0.0,0.0,1.3592814075389178e-09,3522802,Itaporanga,hanseniase
2025-07-01,,0.0,0.0,1.4852036978403153e-09,3522802,Itaporanga,hanseniase
2025-08-01,,0.0,0.0,1.362319959783062e-09,3522802,Itaporanga,hanseniase
2025-09-01,,0.0,0.0,1.4918912457630577e-09,3522802,Itaporanga,hanseniase
2025-10-01,,0.0,0.0,1.5101495903328122e-09,3522802,Itaporanga,hanseniase
2025-11-01,,0.0,0.0,1.5594820298882132e-09,3522802,Itaporanga,hanseniase
2025-12-01,,0.0,0.0,1.555396215607935e-09,3522802,Itaporanga,hanseniase
2026-01-01,,0.0,0.0,1.6947179170299437e-09,3522802,Itaporanga,hanseniase
2026-02-01,,0.0,0.0,1.5961797484024538e-09,3522802,Itaporanga,hanseniase
