disease,cod_mun,mae,rmse,r2,n_samples
sifilis,3500105,0.5397379438696436,1.0718115626598221,0.4655189487523679,300
sifilis,3500204,0.0,0.0,1.0,300
sifilis,3500303,0.09808923855692336,0.38038468975260026,0.002581620963730935,300
sifilis,3500402,0.08618734360684242,0.7439146058648096,0.003618104114516685,300
sifilis,3500501,0.24532303992288143,0.8143174653834764,0.010142180342939788,300
sifilis,3500550,0.23130888390628276,1.3959401297770737,0.0010374232236632919,300
sifilis,3500600,0.4485124874453848,2.8077268602137293,0.00027343753625186373,300
sifilis,3500709,0.19590122467243526,0.5226471078512891,0.06331825223589183,300
sifilis,3500758,0.1263268370720892,1.0528458190298793,0.005313645403185019,300
sifilis,3500808,0.49833219749873287,2.512649936087831,-1.3496315183436636e-05,300
sifilis,3500907,0.17417573565534905,1.3727283875820229,0.006108448772675357,300
sifilis,3501004,0.241803854234646,0.8702174310726947,0.002636735269283763,300
sifilis,3501103,0.3322563741898531,1.9634225925181632,0.006180700631174596,300
sifilis,3501152,0.39313858638032967,0.9855370277460909,0.11626818556533958,300
sifilis,3501202,0.34662789285528073,2.1173600759317552,0.002643601742726709,300
sifilis,3501301,0.2724545427772154,0.9844430753050419,0.3216200431865981,300
sifilis,3501400,0.7354211378175787,2.952655414113529,0.034524007127770595,300
sifilis,3501509,1.1068064316862396,3.9560474584189786,0.10251712779687971,300
sifilis,3501608,0.08556472195913035,0.14900408693959105,0.07982720153351108,300
sifilis,3501707,0.366563399329212,0.7835118014133954,0.09604500372463987,300
sifilis,3501806,0.4718865888063985,1.9227628791847786,0.01747843788136183,300
sifilis,3501905,0.13608477648035805,0.28422580343442305,0.06254791248636804,300
sifilis,3502002,0.4437094025383131,2.2235781680790807,0.0003770706527729262,300
sifilis,3502101,0.19888158525798744,0.5151080367124079,0.0928421579160622,300
sifilis,3502200,0.4290455415750798,1.0178177479281125,0.19209215526116774,300
sifilis,3502309,0.23148515049006027,1.4170052584669475,0.0019817346031653083,300
sifilis,3502408,0.3914767180609772,2.3225736690512155,0.008008513693355424,300
sifilis,3502507,0.21483949867822635,0.6922461971407761,0.18720674717302443,300
sifilis,3502606,0.4154708252179778,2.104987665378119,0.16212156235111164,300
sifilis,3502705,0.29243728764595145,1.0530866394159204,-0.07925231730186244,300
sifilis,3502754,0.3900395286544354,1.207303946029905,0.16636939473695456,300
sifilis,3502804,0.18954354953613206,0.32044049386780493,0.5457117617610626,300
sifilis,3502903,0.1941341452921698,0.5778788967118812,0.004647782758211982,300
sifilis,3503000,0.24387033172629163,1.4568025548600192,0.006283223921030645,300
sifilis,3503109,0.051954185398534906,0.3014535646897132,0.8976496977194413,300
sifilis,3503158,0.0,0.0,1.0,300
sifilis,3503208,0.37004975269976154,0.414063611192206,-0.31458403164906024,300
sifilis,3503307,0.2100655805767563,0.5193253303033514,-0.14138886581841792,300
